中央政府總預算案,,,,,,,,,
歲出機關別預算表,,,,,,,,,
經資門併計,,,,,中華民國106年度,,,單位：新臺幣千元,
,,3,,"3808011500
戶政業務","169,617 ","194,930 ","-25,313 ","本年度預算數之內容與上年度之比較如下：
1.督導改進戶籍行政經費1,229千元，較上
   年度減列戶政日慶祝活動等經費217千元
   。
2.加強改進國籍行政經費439千元，較上年
   度減列辦理國籍法規與實務研習會等經費
   78千元。
3.辦理戶籍人口統計經費1,091千元，較上
   年度減列編印人口統計資料等經費193千
   元。
4.推行人口政策經費1,298千元，較上年度
   減列推動人口政策及教育等經費230千元
   。
5.戶役政資訊作業及管理經費164,527千元
   ，較上年度減列戶役政機房維護等經費1,
   284千元。
6.戶政人員之培訓經費1,033千元，較上年
   度減列182千元。
7.上年度辦理戶政行動化服務推廣建置計畫
   預算業已編竣，所列8,129千元如數減列
   。
8.上年度辦理全國戶役政系統集中化規劃計
   畫預算業已編竣，所列15,000千元如數減
   列。",
,,4,,"3808012500
地政業務","399,716 ","396,619 ","3,097 ",,
,,,1,"3808012501
測量及方域","316,294 ","327,398 ","-11,104 ","本年度預算數之內容與上年度之比較如下：
1.國土測量經費1,433千元，較上年度減列
   辦理國土測量業務等經費253千元。
2.方域行政經費904千元，較上年度減列辦
   理地名空間資料建置等經費159千元。
3.國家基本測量管理維護經費4,015千元，
   較上年度減列辦理重力儀及水氣微波幅射
   儀設備維護等經費708千元。
4.我國海域調查與圖資整合發展計畫總經費
   1,309,630千元，分6年辦理，104至105年
   度已編列308,670千元，本年度續編第3年
   經費125,000千元，較上年度減列33,539
   千元。
5.空間測繪應用研究發展計畫總經費111,54
   5千元，分4年辦理，105年度已編列20,00
   0千元，本年度續編第2年經費25,688千元
   ，較上年度增列5,688千元。
6.國土測繪圖資更新及維運計畫-測量及方
   域總經費845,450千元，分5年辦理，105
   年度已編列141,387千元，本年度續編第2
   年經費159,254千元，較上年度增列17,86
   7千元。",
,,,2,"3808012502
地籍及不動產服務業管理","74,071 ","59,653 ","14,418 ","本年度預算數之內容與上年度之比較如下：
1.土地登記管理經費771千元，較上年度減
   列辦理研究改進地籍登記法制及為民服務
   作業等經費136千元。
2.土地登記業務規劃督導與訓練經費725千
   元，較上年度減列辦理地政人員訓練研習
   會等經費128千元。
3.不動產交易管理與輔導經費13,653千元，
   較上年度減列委託辦理不動產經紀營業員
   登錄、證明及辦理不動產成交案件實際資
   訊申報登錄業務等經費2,695千元。
4.建立土地基本資料庫經費272千元，較上
   年度減列辦理地理資訊系統維護等經費48
   千元。
5.地政資訊作業及管理經費16,630千元，較
   上年度減列辦理各項地政業務應用軟體及
   資訊安全防護等經費2,690千元，增列汰
   換網路封包解密器及電腦設備等經費5,11
   5千元，計淨增2,425千元。
6.地籍清理第2期實施計畫總經費294,860千
   元，分6年辦理，103至105年度已編列82,
   486千元，本年度續編第4年經費27,020千
   元，與上年度同。
7.新增開放地政跨域服務整合計畫總經費22
   6,338千元，分4年辦理，本年度編列第1
   年經費15,000千元。",
,,,3,"3808012503
平均地權及土地利用","9,351 ","9,568 ",-217 ,"本年度預算數之內容與上年度之比較如下：
1.實施平均地權經費2,037千元，較上年度
   減列辦理研修平均地權相關子法、地價法
   令講習及委託縣市辦理都市地區地價指數
   查價工作等經費359千元。
2.地權調整經費904千元，較上年度減列辦
   理地政貢獻獎業務、外國人取得我國地權
   之管理及加強三七五租佃業務等經費380
   千元，增列維護外國人地權資料管理系統
   等經費244千元，計淨減136千元。
3.土地利用經費3,200千元，較上年度增列
   辦理土地徵收業務及土地徵收作業系統等
   經費869千元。
4.公地行政經費1,355千元，較上年度減列
   辦理公地放領及公地管理等經費263千元
   。
5.非都市土地使用管制經費416千元，較上
   年度減列辦理非都市土地使用編定管制等
   經費73千元。
6.土地重劃業務經費701千元，較上年度減
   列辦理農地重劃等經費124千元。
7.辦理區段徵收業務經費738千元，較上年
   度減列辦理印製區段徵收作業手冊等經費
   131千元。",
,,5,,"3808012700
土地測量","936,458 ","1,018,729 ","-82,271 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費468,371千元，較上年度減列
   撥補勞工退休準備金專戶差額經費50,484
   千元。
2.基本行政工作維持費3,415千元，較上年
   度減列辦理國土測繪中心研考及管理等經
   費603千元。
3.測繪控制點管理維護經費4,715千元，較
   上年度減列一般事務費等832千元。
4.資料供應及受託測量經費15,829千元，較
   上年度減列一般事務費等864千元。
5.測繪科技發展計畫經費17,061千元，較上
   年度減列資訊軟硬體設備等經費1,738千
   元。
6.地籍圖重測後續計畫，總經費2,611,032
   千元，分9年辦理，104至105年度已編列4
   91,042千元，本年度續編第3年經費245,5
   21千元，與上年度同。
7.國土測繪圖資更新及維運計畫-土地測量
   總經費1,165,500千元，分5年辦理，105
   年度已編列209,296千元，本年度續編第2
   年經費181,546千元，較上年度減列27,75
   0千元。",
,,6,,"3808012800
土地開發","123,186 ","132,308 ","-9,122 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費114,925千元，較上年度減列
   撥補勞工退休準備金專戶差額等經費9,78
   2千元。
2.基本行政工作維持費2,198千元，較上年
   度減列其他業務租金、國內旅費及一般事
   務費等323千元。
3.規劃設計監工業務經費6,063千元，較上
   年度減列購置雜項設備、資訊服務費及國
   內旅費等1,017千元，增列辦理鄉村區土
   地問題分析及解決方案探討之委託研究等
   經費2,000千元，計淨增983千元。",
,,7,,"3808013000
內政資訊業務","150,316 ","217,989 ","-67,673 ","本年度預算數之內容與上年度之比較如下：
1.規劃及推動辦公室電腦化作業經費43,483
   千元，較上年度減列汰換電腦及網路週邊
   設備等經費2,643千元，增列辦理資訊中
   心房屋建築結構補強經費6,498千元，計
   淨增3,855千元。
2.行政資訊系統開發及維護處理經費18,833
   千元，較上年度減列辦理建築管理智慧化
   服務計畫等經費1,964千元。
3.內政圖資整合應用計畫總經費436,500千
   元，分5年辦理，105年度已編列86,278千
   元，本年度續編第2年經費35,000千元，
   較上年度減列51,278千元。
4.新增強化自然人憑證應用服務計畫總經費
   313,900千元，分4年辦理，本年度編列第
   1年經費53,000千元。
5.上年度自然人憑證創新應用服務推廣計畫
   預算業已編竣，所列71,286千元如數減列
   。",
,,8,,"3808019000
一般建築及設備",0 ,690 ,-690 ,,
,,,1,"3808019011
交通及運輸設備",0 ,690 ,-690 ,"上年度汰換副首長專用車1輛預算業已編竣
，所列690千元如數減列。",
,,9,,"3808019800
第一預備金","28,603 ","28,603 ",0 ,仍照上年度預算數編列。,
,,,,"6608010000
社會保險支出","20,851,363 ","21,114,821 ","-263,458 ",,
,,10,,"6608013700
社會保險業務","20,851,363 ","21,114,821 ","-263,458 ","本年度預算數之內容與上年度之比較如下：
1.農民保險業務經費20,848,522千元，較上
   年度減列補助農民參加農民健康保險經費
   149,073千元、農民參加全民健康保險經
   費等259,896千元，增列彌補農民健康保
   險虧損等經費144,073千元，計淨減264,8
   96千元。
2.農民保險監理業務經費2,841千元，較上
   年度減列農民健康保險監理委員會委員兼
   職費及醫師辦理審查業務等經費182千元
   ，增列辦理農民健康保險費率精算及財務
   評估委託研究1,620千元，計淨增1,438千
   元。",
,,,,"6808010000
福利服務支出","20,498 ","27,115 ","-6,617 ",,
,,11,,"6808013500
社會行政業務","20,498 ","27,115 ","-6,617 ","本年度預算數之內容與上年度之比較如下：
1.健全人民團體組織及推行改善社會風氣經
   費8,435千元，較上年度減列補助人民團
   體辦理各項重要紀念節慶及業務活動等經
   費1,488千元。
2.健全職業團體組織經費1,072千元，較上
   年度減列辦理職業團體幹部及團體輔導之
   研習等經費189千元。
3.健全合作社場組織經費4,343千元，較上
   年度減列辦理合作事業入口網站及合作事
   業管理資訊系統建置等經費4,708千元。
4.強化合作事業輔導經費6,648千元，較上
   年度減列辦理合作行政人員、合作及儲蓄
   互助社各類訓練講習等經費232千元。",
,2,,,"0008110000
營建署及所屬","24,341,600 ","25,451,102 ","-1,109,502 ",,
,,,,"5808110000
農業支出","1,774,447 ","1,642,247 ","132,200 ",,
,,1,,"5808112000
公園規劃業務","189,082 ","212,665 ","-23,583 ","本年度預算數之內容與上年度之比較如下：
1.督導國家公園建設計畫之推動及宣導經費
   33,770千元，較上年度減列辦理國家公園
   永續發展相關資訊業務等經費4,190千元
   。
2.蒐集並編譯有關國家公園法規及資料經費
   5,000千元，較上年度淨減617千元，包括
   ：
  (1)時空資訊雲落實智慧國土－內政圖資
     整合應用計畫（105-109年）－因應氣
     候變遷調適策略之智慧國家公園資料庫
     及系統規劃建置計畫總經費35,000千元
     ，分5年辦理，105年度已編列3,000千
     元，本年度續編第2年經費5,000千元，
     較上年度增列2,000千元。
  (2)上年度辦理智慧生態計畫預算業已編
     竣，所列2,617千元如數減列。
3.都會公園管理與維護經費53,812千元，較
   上年度減列高雄及台中都會公園公共設施
   維護等經費13,337千元。
4.健全國家公園保護區系統之資源調查及經
   營管理計畫經費3,300千元，較上年度減
   列環境整理等經費1,235千元。
5.壽山國家自然公園資源調查及經營管理計
   畫經費93,200千元，較上年度減列房屋建
   築及設備等經費4,204千元。",
,,2,,"5808113000
國家公園經營管理","1,451,165 ","1,429,582 ","21,583 ",,
,,,1,"5808113001
墾丁國家公園經營管理","248,093 ","218,341 ","29,752 ","本年度預算數之內容與上年度之比較如下：
1.基本行政工作維持費1,493千元，較上年
   度減列車輛及辦公器具養護等經費203千
   元。
2.經營管理計畫經費100,846千元，較上年
   度減列辦理社區保育及培力等經費10,315
   千元，增列辦理第四次通盤檢討作業定樁
   測量等經費10,904千元，計淨增589千元
   。
3.解說教育計畫經費12,800千元，與上年度
   同。
4.保育研究計畫經費26,194千元，較上年度
   減列辦理各項自然資源基礎及長期資料研
   究調查等經費7,030千元，增列辦理梅花
   鹿復育區經營管理等經費5,000千元，計
   淨減2,030千元。
5.土地購置計畫經費5,600千元，較上年度
   增列600千元。
6.營建工程計畫經費93,495千元，較上年度
   淨增29,695千元，包括：
  (1)公共設施維護及轄區內污水接管工程
     等經費36,000千元，較上年度減列8,00
     0千元。
  (2)辦理後壁湖遊艇港區浮動碼頭暨周邊
     相關設施(含消防設備)整修工程等經費
     1,500千元，與上年度同。
  (3)新增辦理鵝鑾鼻公園賣店改建及停車
     場環境改善工程等經費55,995千元。
  (4)上年度辦理貓鼻頭公園賣店區屋頂整
     修工程等預算業已編竣，所列18,300千
     元如數減列。
7.新增交通及運輸設備計畫經費1,438千元
   ，係汰換機車6輛及小貨車1輛所需經費。
8.其他設備計畫經費6,227千元，較上年度
   淨減337千元，包括：
  (1)汰購個人電腦及印表機等設備經費5,2
     20千元，較上年度減列412千元。
  (2)新增碎木機、監視設備及投影機等經
     費1,007千元。
  (3)上年度辦理購買淨海及海洋調查潛水
     攝影器材等預算業已編竣，所列932千
     元如數減列。",
,,,2,"5808113002
玉山國家公園經營管理","130,121 ","135,704 ","-5,583 ","本年度預算數之內容與上年度之比較如下：
1.基本行政工作維持費1,321千元，較上年
   度減列辦公器具養護等經費225千元。
2.經營管理計畫經費48,209千元，較上年度
   減列租用公務車等經費1,514千元，增列
   塔塔加及梅山地區污水處理廠委託操作維
   護等經費4,310千元，計淨增2,796千元。
3.解說教育計畫經費9,866千元，較上年度
   減列委託辦理南部園區(梅山、天池)及登
   山步道解說牌整合改善規劃等經費5,194
   千元，增列辦理環教課程研發等經費1,75
   9千元，計淨減3,435千元。
4.保育研究計畫經費8,513千元，較上年度
   減列自行研究計畫等經費4,972千元，增
   列辦理人文保育推廣生態影片拍攝等經費
   3,916千元，計淨減1,056千元。
5.營建工程計畫經費55,957千元，較上年度
   淨減4,143千元，包括：
  (1)辦理園區周邊環境景觀改善及持續性
     維修園區內各項遊憩設施工程等經費15
     ,000千元，較上年度減列16,800千元。
  (2)辦理園區內建物設施與排水維護改善
     暨災害搶修工程等經費20,057千元，較
     上年度減列3,443千元。
  (3)新增塔塔加地區廳舍及周邊設施整修
     工程等經費20,900千元。
  (4)上年度辦理園區山屋整修工程等預算
     業已編竣，所列4,800千元如數減列。
6.其他設備計畫經費6,255千元，較上年度
   淨增480千元，包括：
  (1)汰購個人電腦及套裝軟體等經費1,858
     千元，較上年度減列1,270千元。
  (2)汰購檔案掃描器及飲水機等經費3,697
     千元，較上年度增列1,050千元。
  (3)新增汰購無線電通訊機組經費700千元
     。",
,,,3,"5808113003
陽明山國家公園經營管理","213,474 ","163,561 ","49,913 ","本年度預算數之內容與上年度之比較如下：
1.基本行政工作維持費1,774千元，較上年
   度減列教育訓練費及公務車輛養護等經費
   99千元。
2.經營管理計畫經費88,588千元，較上年度
   減列地籍釐正及道路測量作業等經費1,96
   0千元，增列園區及道路公共設施清潔維
   護等經費28,723千元，計淨增26,763千元
   。
3.解說教育計畫經費14,800千元，較上年度
   減列辦理國家公園生態旅遊系列活動等經
   費2,400千元，增列國家公園環境教育課
   程師資培訓及推廣等經費525千元，計淨
   減1,875千元。
4.保育研究計畫經費19,710千元，較上年度
   減列辦理濕地保育維護等工作經費3,745
   千元，增列委託辦理園區內自然人文調查
   工作等經費2,830千元，計淨減915千元。
5.土地購置計畫經費11,000千元，較上年度
   增列10,000千元。
6.營建工程計畫經費68,802千元，較上年度
   淨增16,302千元，包括：
  (1)環境教育中心建物整修及周邊設施環
     境整理工程等經費16,000千元，較上年
     度增列11,500千元。
  (2)園區災害搶救及公共設施安全補強工
     程等經費12,306千元，較上年度減列2,
     694千元。
  (3)園區步道及標誌系統、小油坑、冷水
     坑、龍鳳谷轄區內公共設施綠建築及景
     觀美化工程等經費23,000千元，較上年
     度減列3,000千元。
  (4)陽明書屋周邊相關設施整修工程等經
     費6,496千元，較上年度減列504千元。
  (5)新增擎天崗無障礙步道、七星公園及
     周邊環境公共設施整修工程等經費11,0
     00千元。
7.交通及運輸設備計畫經費2,784千元，較
   上年度淨增1,964千元，包括：
  (1)新購小客車1輛、小貨車2輛及汰換機
     車8輛經費2,784千元。
  (2)上年度購置小客貨兩用車1輛預算業已
     編竣，所列820千元如數減列。
8.其他設備計畫經費6,016千元，較上年度
   減列2,227千元，包括：
  (1)汰購個人電腦及套裝軟體等經費2,191
     千元，較上年度減列1,784千元。
  (2)汰購管理處、陽明書屋及遊客中心設
     備等經費3,825千元，較上年度減列443
     千元。",
,,,4,"5808113004
太魯閣國家公園經營管理","210,515 ","250,295 ","-39,780 ","本年度預算數之內容與上年度之比較如下：
1.基本行政工作維持費2,515千元，較上年
   度減列公務車輛養護等經費230千元。
2.經營管理計畫經費63,000千元，較上年度
   減列台八線中橫景觀道路等周邊地區景觀
   意象形塑與環境改善等經費1,114千元。
3.解說教育計畫經費17,326千元，較上年度
   減列拍攝太魯閣峽谷生態人文影片等經費
   3,317千元。
4.保育研究計畫經費9,800千元，較上年度
   減列太魯閣國家公園鳥類族群健康風險監
   測計畫等經費839千元。
5.土地購置計畫經費3,000千元，較上年度
   減列2,000千元。
6.營建工程計畫經費104,374千元，較上年
   度淨減32,950千元，包括：
  (1)中橫沿線服務中心、景觀據點設施更
     新及園區重點景觀維護工程等經費58,3
     18千元，較上年度增列1,052千元。
  (2)蘇花公路沿線設施整建、天然災害搶
     修、景觀道路、既有高山步道及山屋整
     建工程等經費46,056千元，較上年度減
     列34,002千元。
7.交通及運輸設備計畫經費4,810千元，較
   上年度淨增1,595千元，包括：
  (1)新購小貨車、休旅車及汰換垃圾車各1
     輛經費4,810千元。
  (2)上年度汰換休旅車1輛、小客貨兩用車
     1輛及機車14輛預算業已編竣，所列3,2
     15千元如數減列。
8.其他設備計畫經費5,690千元，較上年度
   淨減925千元，包括：
  (1)汰購行政中心及合歡山等管理站辦公
     設備等經費1,600千元，較上年度減列1
     ,175千元。
  (2)汰購個人電腦及套裝軟體等經費4,090
     千元，較上年度增列250千元。",
,,,5,"5808113005
雪霸國家公園經營管理","155,566 ","155,580 ",-14 ,"本年度預算數之內容與上年度之比較如下：
1.基本行政工作維持經費1,866千元，較上
   年度減列房屋建築養護等經費3千元。
2.經營管理計畫經費55,723千元，較上年度
   減列汰換會議室及辦公室座椅等經費425
   千元。
3.解說教育計畫經費16,102千元，較上年度
   減列辦理環境教育學習網數位資料庫建置
   及平台更新計畫等經費33千元。
4.保育研究計畫經費19,604千元，較上年度
   增列委託辦理雪霸森林樹層冠生態調查暨
   影像紀實等經費530千元。
5.營建工程計畫經費50,765千元，較上年度
   淨減2,235千元，包括：
  (1)保育物種棲地改善工程等經費3,000千
     元，較上年度減列5,000千元。
  (2)登山步道、山屋、遊憩區及周邊公共
     設施維護、毗鄰地區城鄉風貌工程等經
     費11,737千元，較上年度減列3,763千
     元。
  (3)園區各項建物改善工程等經費20,000
     千元，較上年度增列500千元。
  (4)園區災害搶修工程經費16,028千元，
     較上年度增列6,028千元。
6.交通及運輸設備計畫經費360千元，較上
   年度淨減2,329千元，包括：
  (1)新購及汰換機車各2輛經費360千元。
  (2)上年度汰換機車3輛及購置小客貨兩用
     車2輛預算業已編竣，所列2,689千元如
     數減列。
7.其他設備計畫經費11,146千元，較上年度
   淨增4,481千元，包括：
  (1)汰購汶水園區及各管理站雜項設備等
     經費1,301千元，較上年度減列1,978千
     元。
  (2)汰購資訊軟硬體設備等經費8,145千元
     ，較上年度增列5,559千元。
  (3)汰購機械設備等經費1,700千元，較上
     年度增列900千元。",
,,,6,"5808113006
金門國家公園經營管理","225,174 ","225,604 ",-430 ,"本年度預算數之內容與上年度之比較如下：
1.基本行政工作維持費1,174千元，較上年
   度減列公務車輛油料等經費392千元。
2.經營管理計畫經費85,147千元，較上年度
   減列資訊操作維護費等經費2,378千元。
3.解說教育計畫經費44,575千元，較上年度
   減列油畫作品修復等經費750千元。
4.保育研究計畫經費31,862千元，較上年度
   增列苗圃暨動物救傷站委外維護服務等經
   費1,650千元。
5.營建工程計畫經費57,535千元，較上年度
   增列3,357千元，包括：
  (1)傳統建築修復及各展館整修工程等經
     費33,000千元，較上年度增列1,822千
     元。
  (2)園區各據點改善、天然災害搶修及零
     星修繕工程等經費24,535千元，較上年
     度增列1,535千元。
6.上年度辦理交通及運輸設備計畫預算業已
   編竣，所列1,640千元如數減列。
7.其他設備計畫經費4,881千元，較上年度
   淨減277千元，包括：
  (1)汰購行政中心及各管理站辦公設備等
     經費1,511千元，較上年度增列403千元
     。
  (2)汰購個人電腦及防毒軟體等經費3,370
     千元，較上年度減列680千元。",
,,,7,"5808113007
海洋國家公園經營管理","99,644 ","104,200 ","-4,556 ","本年度預算數之內容與上年度之比較如下：
1.基本行政工作維持費644千元，較上年度
   減列房屋建築養護等經費66千元。
2.經營管理計畫經費32,035千元，較上年度
   減列委託辦理海洋國家公園區域經營管理
   研究計畫等經費3,325千元。
3.解說教育計畫經費8,500千元，較上年度
   減列委託製作影音視聽等經費600千元，
   增列辦理海洋解說及保育志工招募訓練等
   經費200千元，計淨減400千元。
4.保育研究計畫經費15,250千元，較上年度
   減列辦理海洋生態調查、環境監測及珊瑚
   礁總體檢業務等經費1,150千元，增列辦
   理澎湖南方四島國家公園傳統建築保存活
   化等經費5,200千元，計淨增4,050千元。
5.營建工程計畫經費33,507千元，較上年度
   淨減11,993千元，包括：
  (1)新增管理處行政中心暨遊客中心興建
     工程第1年經費5,000千元。
  (2)新增東沙和澎湖南方四島環境及建物
     設施工程、東嶼坪海水淡化系統興建工
     程等經費28,507千元。
  (3)上年度東沙環礁與澎湖南方四島國家
     公園之管理服務設施、環境教育和遊憩
     服務設施工程及管理處行政中心暨遊客
     中心興建工程規劃設計等預算業已編竣
     ，所列45,500千元如數減列。
6.新增交通及運輸設備計畫經費7,000千元
   ，係新購澎湖南方四島國家公園海域保育
   巡查及水下調查所需研究船艇1艘所需經
   費。
7.其他設備計畫經費2,708千元，較上年度
   淨增178千元，包括：
  (1)汰購個人電腦等經費2,058千元，較上
     年度增列1,518千元。
  (2)新購水下調查設備等經費650千元。
  (3)上年度開發土地管理資訊系統經費及
     購置水下接收器等預算業已編竣，所列
     1,990千元如數減列。",
,,,8,"5808113008
台江國家公園經營管理","168,578 ","176,297 ","-7,719 ","本年度預算數之內容與上年度之比較如下：
1.基本行政工作維持費878千元，較上年度
   減列房屋建築養護費等經費138千元。
2.經營管理計畫經費36,312千元，較上年度
   減列委託辦理修正台江國家公園計畫第一
   次通盤檢討案等經費7,000千元，增列委
   託辦理七股潟湖與沙洲復育規劃及試驗案
   等經費12,070千元，計淨增5,070千元。
3.解說教育計畫經費20,010千元，較上年度
   減列攝製遊客中心環形劇場高畫質視聽媒
   體、影音光碟，以推動國家公園美學及保
   育理念等經費8,050千元，增列委託辦理
   人文影片攝製工作等經費7,726千元，計
   淨減324千元。
4.保育研究計畫經費17,550千元，較上年度
   減列委託研究台江地區人文調查及潛在性
   文化源活化應用等經費1,482千元，增列
   委託辦理台江地區文化保存及創新應用等
   經費2,350千元，計淨增868千元。
5.土地購置計畫經費2,000千元，與上年度
   同。
6.營建工程計畫經費82,690千元，較上年度
   淨減1,133千元，包括：
  (1)園區界碑、解說牌誌及緊急災害復建
     工程等經費2,200千元，較上年度減列5
     00千元。
  (2)園區既有公共設施服務功能提升及節
     能減碳設施整建工程等經費77,880千元
     ，較上年度增列54,757千元。
  (3)新增六孔遊客中心暨管理站整體空間
     改善、魚塭提岸活化、黑面琵鷺賞鳥亭
     改進、整建工程2,610千元。
  (4)上年度辦理台江國家公園行政中心暨
     遊客中心裝修工程預算業已編竣，所列
     58,000千元如數減列。
7.上年度辦理交通及運輸設備計畫預算業已
   編竣，所列550千元如數減列。
8.其他設備計畫經費9,138千元，較上年度
   淨減11,512千元，包括：
  (1)購置資訊軟硬體設備及系統開發等經
     費4,310千元，較上年度減列820千元。
  (2)購置行政中心、遊客中心及管理站雜
     項設備等經費1,508千元，較上年度減
     列10,362千元。
  (3)購置監視系統及望遠鏡等設備經費3,3
     20千元，較上年度減列330千元。",
,,3,,"5808118100
非營業特種基金","134,200 ",-,"134,200 ",,
,,,1,"5808118101
國土永續發展基金","134,200 ",-,"134,200 ",新增國庫撥充國土永續發展基金如列數。,
,,,,"5908110000
工業支出","4,390,237 ","3,113,884 ","1,276,353 ",,
,,4,,"5908110100
一般行政","1,601,906 ","1,691,105 ","-89,199 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費1,556,575千元，較上年度減
   列撥補勞工退休準備金專戶差額等經費48
   ,555千元。
2.基本行政工作維持費31,884千元，較上年
   度減列一般行政事務等經費5,592千元。
3.營建資訊系統開發管理與維護經費13,447
   千元，較上年度減列35,052千元，包括：
  (1)資訊軟硬體設備等經費13,447千元，
     較上年度減列2,942千元。
  (2)上年度辦理建築管理智慧化服務計畫
     預算業已編竣，所列32,110千元如數減
     列。",
,,5,,"5908111000
營建業務","2,584,448 ","1,186,538 ","1,397,910 ","本年度預算數之內容與上年度之比較如下：
1.辦理國土、海岸地區及土資場等計畫之研
   擬審議、規劃管理經費30,751千元，較上
   年度淨減13,350千元，包括：
  (1)研擬國土、區域發展政策與土資場及
     營建餘土資訊等經費21,251千元，較上
     年度減列委託辦理台北都會區域計畫等
     經費3,350千元。
  (2)海岸環境營造計畫（104-109年）-海
     岸規劃及資料庫建置計畫總經費57,000
     千元，分6年辦理，104至105年度已編
     列31,000千元，本年度續編第3年經費6
     ,000千元，較上年度減列11,000千元。
  (3)時空資訊雲落實智慧國土－內政圖資
     整合應用計畫（105-109年）－環境敏
     感地區查詢單一窗口計畫總經費16,500
     千元，分5年辦理，105年度已編列2,50
     0千元，本年度續編第2年經費3,500千
     元，較上年度增列1,000千元。
2.都市計畫法規研擬、案件審議及都市開發
   建設經費2,895千元，較上年度減列965千
   元。
3.住宅計畫、住宅政策之推動及建築開發經
   理業輔導管理經費1,033,253千元，較上
   年度淨增1,027,791千元，包括：
  (1)辦理住宅需求動向調查等經費3,814千
     元，較上年度減列補助九二一震災受災
     戶租金折價損失及先租後售折價差額損
     失等經費1,648千元。
  (2)新增撥補住宅基金辦理社會住宅政策1
     ,029,439千元。
4.推動建築許可、施工管理及使用維護等工
   作經費49,404千元，較上年度淨增20,787
   千元，包括：
  (1)辦理全國建築管理資訊系統軟硬體維
     護、諮詢、操作訓練及系統開發工作等
     經費4,504千元，較上年度減列1,113千
     元。
  (2)永續智慧城市－智慧綠建築與社區推
     動方案（105-108年）總經費113,000千
     元，分4年辦理，105年度已編列23,000
     千元，本年度續編第2年經費23,900千
     元，較上年度增列900千元。
  (3)新增第五階段電子化政府計畫─數位
     政府（106-109年）─數位建築創新應
     用服務建置計畫，總經費74,660千元，
     分4年辦理，本年度編列第1年經費21,0
     00千元。
5.辦理建築師管理與輔導工作經費9,410千
   元，較上年度增列傑出建築師評選等經費
   4,017千元。
6.執行維護公共安全方案與公寓大廈及社區
   管理經費10,872千元，較上年度減列2,95
   7千元，包括：
  (1)建築物實施耐震能力評估及補強方案
     經費8,208千元，較上年度減列2,752千
     元。
  (2)推動公寓大廈及社區管理維護等經費2
     ,664千元，較上年度減列205千元。
7.推動市區道路管理及辦理公共設施保留地
   等經費2,836千元，較上年度減列代辦工
   程訴訟費等經費945千元。
8.辦理共同管道及建設下水道等業務管理經
   費66,900千元，較上年度減列25,567千元
   ，包括：
  (1)辦理共同管道及建設下水道等業務管
     理經費1,100千元，較上年度減列367千
     元。
  (2)時空資訊雲落實智慧國土－內政圖資
     整合應用計畫（105-109年）－公共設
     施管線資料庫暨管理應用系統建置計畫
     總經費460,000千元，分5年辦理，105
     年度已編列91,000千元，本年度續編第
     2年經費65,800千元，較上年度減列25,
     200千元。
9.振興建築投資業減輕購屋者利息負擔經費
   3,660千元，較上年度減列843千元，包括
   ：
  (1)林肯大郡全毀受災戶購宅貸款專案利
     息補貼925千元，較上年度減列157千元
     。
  (2)辦理九二一利息補貼原購屋貸款借款
     人負擔之利息差額265千元，較上年度
     減列67千元。
  (3)辦理莫拉克颱風受災戶住宅補貼方案2
     ,470千元，較上年度減列619千元。
10.都市計畫與營建行政經費24,467千元，
   較上年度增列補助國內營造業赴海外拓點
   業務等經費1,844千元。
11.城鎮風貌型塑整體計畫－城鎮風貌型塑
   計畫，總經費6,004,000千元，分年辦理
   ，102至105年度已編列4,491,163千元，
   本年度續編1,350,000千元，較上年度增
   列388,098千元。",
,,6,,"5908112100
區域及都市規劃業務","197,268 ","233,224 ","-35,956 ","本年度預算數之內容與上年度之比較如下：
1.基本行政工作維持費9,766千元，較上年
   度減列資訊設備等經費587千元。
2.城鄉發展經費4,102千元，較上年度減列
   委託辦理區域及城鄉發展相關課題研擬作
   業等經費1,369千元。
3.區域規劃經費15,900千元，較上年度增列
   花東地區永續發展策略計畫及相關行政作
   業經費900千元。
4.國家重要濕地復育經費126,200千元，較
   上年度淨減26,200千元，包括：
  (1)新增國家濕地保育計畫(106-110年)總
     經費892,970千元，分5年辦理，本年度
     編列第1年經費126,200千元。
  (2)上年度辦理國家重要濕地保育計畫（1
     00-105年）預算業已編竣，所列152,40
     0千元如數減列。
5.都市計畫書圖重製暨整合應用計畫（103-
   107年）總經費252,140千元，分5年辦理
   ，103至105年度已編列140,548千元，本
   年度續編第4年經費41,300千元，較上年
   度減列8,700千元。",
,,7,,"5908119000
一般建築及設備","3,598 ",0 ,"3,598 ",,
,,,1,"5908119002
營建工程","3,598 ",-,"3,598 ","新增辦理南區工程處嘉義及台東工務所耐震
補強工程經費如列數。",
,,8,,"5908119800
第一預備金","3,017 ","3,017 ",0 ,仍照上年度預算數編列。,
,,,,"6008110000
交通支出","6,165,837 ","8,002,409 ","-1,836,572 ",,
