,,,,,,,,
科　　　　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","本年度與
上年度比較",說　　　　　　　　明
,038,,,"　00023280000
　高雄市梓官區公所","70,182","70,517",-335,
,,01,,"　　33023280100
　　一般行政","49,426","49,607",-181,
,,,01,"　　　33023280101
　　　行政管理","49,426","49,607",-181,"本年度預算數之內容與上年度之比較如下:
1.人員維持費37,535千元與上年度同。
2.基本行政工作維持費2,208千元，較上年度減列退休(職)人員三節慰問金96千元。
3.里鄰長及里幹事相關經費9,683千元，較上年度減列85千元。
　"
,,02,,"　　33023280400
　　區公所業務","15,140","16,490","-1,350",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　33023280401
　　　業務管理","15,140","16,490","-1,350","本年度預算數較上年度減列1,350千元，包括:
1.區公所共同費用項目經費10,313千元，較上年度減列區里公共設施及環境改善費(105年補辦預算)等經費1,599千元。
2.辦理中央補助與回饋金業務經費681千元，較上年度增列382千元。
3.其他業務運作經費4,146千元，較上年度減列檔案室搬遷等經費133千元。
　"
,,03,,"　　60023280200
　　基層建設","5,616","4,420","1,196",
,,,01,"　　　60023280201
　　　小型工程","5,616","4,420","1,196","本年度編列項目如下：
1.修建6公尺以下巷道工程等4,116千元。
2.6公尺以下道路維護費1,500千元。
　"
,039,,,"　00023290000
　高雄市旗山區公所","121,625","118,570","3,055",
,,01,,"　　33023290100
　　一般行政","67,694","68,016",-322,
,,,01,"　　　33023290101
　　　行政管理","67,694","68,016",-322,"本年度預算數之內容與上年度之比較如下：
1.人員維持費51,312千元與上年度同。
2.基本行政工作維持費2,274千元，較上年度減列退休人員三節慰問金及電腦軟體等經費262千元。
3.里鄰長及里幹事相關經費14,108千元，較上年度減列60千元。
　"
,,02,,"　　33023290400
　　區公所業務","45,234","43,654","1,580",
,,,01,"　　　33023290401
　　　業務管理","45,234","43,654","1,580","本年度預算數較上年度增列1,580千元，包括： 
1.區公所共同費用項目經費13,977千元，較上年度減列區里公共設施及環境改善費(105年補辦預算)等經費1,870千元。
2.辦理中央補助與回饋金業務經費28,575千元，較上年度增列3,723千元。
3.其他業務運作經費2,682千元，較上年度減列104年度客委會補助辦理「高雄市旗山區福安庄客家聚落文史產業調查研究計畫」自籌等經費273千元。
　"
,,03,,"　　60023290200
　　基層建設","8,697","6,900","1,797",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　60023290201
　　　小型工程","8,697","6,900","1,797","本年度編列項目如下：
1.修建6公尺以下巷道工程及修建小型排水溝工程6,559千元。
2.6公尺以下道路維護費2,138千元。
　"
,040,,,"　00023300000
　高雄市美濃區公所","120,200","114,459","5,741",
,,01,,"　　33023300100
　　一般行政","64,412","64,578",-166,
,,,01,"　　　33023300101
　　　行政管理","64,412","64,578",-166,"本年度預算數之內容與上年度之比較如下:
1.人員維持費51,081千元與上年度同。
2.基本行政工作維持費1,538千元，較上年度減列退休人員三節慰問金等經費162千元。
3.里鄰長及里幹事相關經費11,793千元，較上年度減列4千元。
　"
,,02,,"　　33023300400
　　區公所業務","48,754","44,381","4,373",
,,,01,"　　　33023300401
　　　業務管理","48,754","44,381","4,373","本年度預算數之內容與上年度之比較如下:
1.區公所共同費用項目經費13,903千元，較上年度減列區里公共設施及環境改善費(105年補辦預算)等經費1,619千元。
2.辦理中央補助與回饋金業務經費29,534千元，較上年度增列6,246千元。
3.其他業務運作經費5,317千元，較上年度減列辦公廳舍及經管建物維護等經費254千元。
　"
,,03,,"　　60023300200
　　基層建設","7,034","5,500","1,534",
,,,01,"　　　60023300201
　　　小型工程","7,034","5,500","1,534","本年度編列項目如下:
1.修建6公尺以下巷道工程及小型排水溝工程4,534千元。
2.6公尺以下道路維護費2,500千元。
　"
,041,,,"　00023310000
　高雄市六龜區公所","81,903","182,093","-100,190",
,,01,,"　　33023310100
　　一般行政","42,183","42,598",-415,
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　33023310101
　　　行政管理","42,183","42,598",-415,"本年度預算數之內容與上年度之比較如下:
1.人員維持費31,801千元與上年度同。
2.基本行政工作維持費2,530千元，較上年度減列三節慰問金及電費等經費393千元。
3.里鄰長及里幹事相關經費7,852千元，較上年度減列22千元。
　"
,,02,,"　　33023310400
　　區公所業務","30,000","50,900","-20,900",
,,,01,"　　　33023310401
　　　業務管理","30,000","50,900","-20,900","本年度預算數較上年度減列20,900千元，包括:
1.區公所共同費用項目經費8,283千元，較上年度減列區里公共設施及環境改善費事(105年補辦預算)等經費862千元。
2.辦理中央補助與回饋金業務經費18,372元，較上年度減列17,987千元。
3.其他業務運作經費3,345千元，較上年度減列臨時人員酬金及新購車輛費用等經費2,051千元。
　"
,,03,,"　　60023310200
　　基層建設","9,720","88,595","-78,875",
,,,01,"　　　60023310201
　　　小型工程","9,720","88,595","-78,875","本年度編列項目如下:
1.修建6公尺以下巷道工程及小型排水溝工程2,000千元。
2.6公尺以下道路維護費7,720千元。
　"
,042,,,"　00023320000
　高雄市甲仙區公所","89,082","71,230","17,852",
,,01,,"　　33023320100
　　一般行政","32,656","32,741",-85,
,,,01,"　　　33023320101
　　　行政管理","32,656","32,741",-85,"本年度預算數之內容與上年度之比較如下：
1.人員維持費26,840千元與上年度同。
2.基本行政工作維持費1,241千元，較上年度減列退休人員三節慰問金等經費72千元。
3.里鄰長及里幹事相關經費4,575千元，較上年度減列13千元。
　"
,,02,,"　　33023320400
　　區公所業務","49,608","33,089","16,519",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　33023320401
　　　業務管理","49,608","33,089","16,519","本年度預算數較上年度增列16,519千元，包括：
1.區公所共同費用項目經費3,842千元，較上年度減列區里公共設施及環境改善費(105年補辦預算)等經費878千元。
2.辦理中央補助與回饋金業務經費41,559千元，較年上年度增列17,409千元。
3.其他業務運作經費4,207千元，較上年度減列辦公廳舍修繕維護費等經費12千元。
　"
,,03,,"　　60023320200
　　基層建設","6,818","5,400","1,418",
,,,01,"　　　60023320201
　　　小型工程","6,818","5,400","1,418","本年度編列項目如下:
1.修建6公尺以下巷道工程及小型排水溝工程4,550千元。 
2.6公尺以下道路維護費2,268千元。
　"
,043,,,"　00023330000
　高雄市杉林區公所","63,904","59,590","4,314",
,,01,,"　　33023330100
　　一般行政","34,321","34,415",-94,
,,,01,"　　　33023330101
　　　行政管理","34,321","34,415",-94,"本年度預算數之內容與上年度之比較如下:
1.人員維持費28,408千元與上年度同。
2.基本行政工作維持費927千元，較上年度減列電腦軟體及退休人員三節慰問金等經費94千元。
3.里鄰長及里幹事相關經費4,986千元與上年度同。
　"
,,02,,"　　33023330400
　　區公所業務","23,463","20,375","3,088",
,,,01,"　　　33023330401
　　　業務管理","23,463","20,375","3,088","本年度預算數較上年度增列3,088千元，包括:
1.區公所共同費用項目經費5,340千元，較上年度減列區里公共設施及環境改善費(105年補辦預算)等經費712千元。
2.辦理中央補助與回饋金業務經費14,796千元，較上年度增列3,801千元。
3.其他業務運作經費3,327千元，較上年度減列標租建物屋頂設置太陽能設施回饋金1千元。
　"
,,03,,"　　60023330200
　　基層建設","6,120","4,800","1,320",
,,,01,"　　　60023330201
　　　小型工程","6,120","4,800","1,320","本年度編列項目如下:
1.修建6公尺以下巷道工程4,320千元。
2.6公尺以下道路維護費1,800千元。
　"
,044,,,"　00023340000
　高雄市內門區公所","96,251","96,384",-133,
,,01,,"　　33023340100
　　一般行政","47,048","47,179",-131,
,,,01,"　　　33023340101
　　　行政管理","47,048","47,179",-131,"本年度預算數之內容與上年度之比較如下：
1.人員維持費34,822千元與上年度同。
2.基本行政工作維持費1,133千元，較上年度減列三節慰問金等經費131千元。
3.里鄰長及里幹事相關經費11,093千元與上年度同。
　"
,,02,,"　　33023340400
　　區公所業務","41,348","43,025","-1,677",
,,,01,"　　　33023340401
　　　業務管理","41,348","43,025","-1,677","本年度預算數較上年度減列1,677千元，包括：
1.區公所共同費用項目經費8,143千元，較上年度減列區里公共設施及環境改善費(105年補辦預算)等經費1,610千元。
2.辦理中央補助與回饋金業務經費28,942千元，較上年度增列115千元。
3.其他業務運作經費4,263千元，較上年度減列文具紙張用品等經費182千元。
　"
,,03,,"　　60023340200
　　基層建設","7,855","6,180","1,675",
,,,01,"　　　60023340201
　　　小型工程","7,855","6,180","1,675","本年度編列項目如下:
1.修建6公尺以下巷道工程4,500千元。
2.6公尺以下道路維護費3,355千元。
　"
03,,,,"00030000000
高雄市政府民政局主管","1,480,158","1,700,445","-220,287",
,001,,,"　00030300000
　高雄市政府民政局","951,182","1,114,968","-163,786",
,,01,,"　　33030300100
　　一般行政","117,126","117,556",-430,
,,,01,"　　　33030300101
　　　行政管理","117,126","117,556",-430,"本年度預算數之內容與上年度之比較如下:
1.人員維持費103,319千元，較上年度核實減列人事費88千元。
2.基本行政工作維持費13,807千元，較上年度減列資訊軟體及三節慰問金等經費342千元。
　"
,,02,,"　　33030300500
　　區政行政","32,076","31,683",393,
,,,01,"　　　33030300501
　　　區政監督業務","32,076","31,683",393,"本年度預算數32,076千元，較上年度新增交通部觀光局補助2015年高雄左營萬年季活動等經費393千元。
　"
,,03,,"　　33030300600
　　自治行政","60,735","77,546","-16,811",
,,,01,"　　　33030300601
　　　自治業務及里鄰組織","60,735","77,546","-16,811","本年度預算數較上年度減列16,811千元，包括:
1.台電電協回饋金46,800千元，較上年度減列16,142千元。
2.基本行政工作維持費13,935千元，較上年度減列第2屆里長補選等經費669千元。
　"
,,04,,"　　33030300800
　　戶籍行政","11,033","11,348",-315,
,,,01,"　　　33030300801
　　　戶籍行政業務","11,033","11,348",-315,"本年度預算數11,033千元，較上年度減列新住民生活適應輔導班、印製空白身分證(含膠膜)及空白戶口名簿、戶籍資料袋等經費315千元。
　"
,,05,,"　　33030300900
　　戶政事務所業務","621,229","624,876","-3,647",
,,,01,"　　　33030300901
　　　各區戶政事務所業務","621,229","624,876","-3,647","本年度預算數較上年度減列3,647千元，包括:
1.人員維持費574,145千元，較上年度核實減列人事費490千元。
2.三節慰問金294千元，較上年度減列1,524千元。
3.基本行政維持費46,790千元，較上年度減列1,633千元。
　"
,,06,,"　　33030307900
　　第一預備金",280,280,-,
,,,01,"　　　33030307901
　　　第一預備金",280,280,-,"仍照上年度預算數編列。
　"
,,07,,"　　53030300200
　　宗教禮俗業務","9,539","9,628",-89,
,,,01,"　　　53030300201
　　　宗教輔導及禮俗改善","9,539","9,628",-89,"本年度預算數9,539千元，較上年度減列國內旅費89千元。
　"
,,08,,"　　60030300200
　　基層建設","99,164","242,051","-142,887",
,,,01,"　　　60030300201
　　　小型工程","99,164","242,051","-142,887","本年度預算數99,164千元，較上年度減列基層建設小型工程經費142,887千元。
　"
,002,,,"　00030310000
　高雄市殯葬管理處","361,122","585,477","-224,355",
,,01,,"　　33030310100
　　一般行政","137,718","138,019",-301,
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　33030310101
　　　行政管理","137,718","138,019",-301,"本年度預算數之內容較上年度之比較如下:
1.人員維持費91,426千元，較上年度核實增列人事費169千元。
2.基本行政工作費46,292千元，較上年度減列業務助理及三節慰問金等經費470千元。
　"
,,02,,"　　33030311000
　　殯葬業務","223,404","447,458","-224,054",
,,,01,"　　　33030311001
　　　火葬殯殮管理","41,391","92,215","-50,824","本年度預算數較上年度減列50,824千元，包括:
1.減列火化屍體及環保金爐用油脂及天然氣等經費1,231千元。
2.上年度辦理4座火化爐暨空污設備汰換工程，預算業已編竣，所列49,593千元如數減列。
　"
,,,02,"　　　33030311002
　　　設施企劃管理","10,677","1,673","9,004","本年度預算數10,677千元，較上年度增列杉林區第四公墓暨納骨塔新建工程等經費9,004千元。
　"
,,,03,"　　　33030311003
　　　殯儀服務管理",369,369,-,"本年度預算數369千元，係辦理殯儀服務業務經費，與上年度同。
　"
,,,04,"　　　33030311004
　　　多元墓政管理","170,967","353,201","-182,234","本年度預算數較上年度預算數減列182,234千元，包括:
1.公立納骨塔增設櫃位及周邊修繕工程20,475千元，較上年度增列2,475千元。
2.公墓、納骨塔及第二殯館現場人力勞務委外4,781千元，較上年度增列403千元。
3.覆鼎金公墓遷葬補助費119,549千元，較上年度減列142,912千元。
4.公墓道路、樹灑葬區檔土牆及納骨塔設施改善工程6,396千元，較上年度減列3,050千元。
5.上年度辦理阿蓮第一公墓遷葬前置作業費及周邊私有墳墓遷葬補償費，預算業已編竣，所列39,000千元如數減列。
6.上年度委外開發清明節祭祖為民服務軟體，預算業已編竣，所列150千元如數減列。
　"
,003,,,"　00030320000
　高雄市兵役處","167,854",-,"167,854",
,,01,,"　　33030320100
　　一般行政","51,174",-,"51,174",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　33030320101
　　　行政管理","51,174",-,"51,174","本年度預算數編列51,174千元，其項目如下：
1.人員維持費48,641千元。
2.基本行政工作維持費2,533千元。
　"
,,02,,"　　33030322400
　　軍務行政","46,311",-,"46,311",
,,,01,"　　　33030322401
　　　政軍業務","46,311",-,"46,311","本年度預算數編列46,311千元，其項目如下：
1.政軍服務34,138千元。
2.軍人忠靈祠10,012千元。
3.忠烈祠業務994千元。
4.八二三紀念館1,167千元。
　"
,,03,,"　　33030322500
　　兵役動員管理","17,374",-,"17,374",
,,,01,"　　　33030322501
　　　動員管理業務","17,374",-,"17,374","本年度預算數編列17,374千元，其項目如下：
1.人員加班費18千元。
2.全民防衛動員準備業務、敬軍慰勞、後備軍人及替代役備役動員管理等17,356千元。
　"
,,04,,"　　33030322600
　　兵員徵集","52,995",-,"52,995",
,,,01,"　　　33030322601
　　　徵兵處理","52,995",-,"52,995","本年度預算數編列52,995千元，其項目如下：
1.人員加班費37千元。
2.兵籍調查、役男檢查與抽籤、入營輸送作業等52,958千元。
　"
04,,,,"00040000000
高雄市政府財政局主管","3,154,533","3,303,374","-148,841",
,001,,,"　00040400000
　高雄市政府財政局","2,442,426","2,549,920","-107,494",
,,01,,"　　34040400100
　　一般行政","113,577","113,883",-306,
,,,01,"　　　34040400101
　　　行政管理","113,577","113,883",-306,"本年度預算數之內容與上年度之比較如下：
1.人員維持費110,223千元，較上年度增列加班費32千元。
2.基本行政工作維持費3,354千元，較上年度減列健康檢查費及退休人員三節慰問金等經費338千元。
　"
,,02,,"　　34040400200
　　財務行政","1,552","2,240",-688,
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　34040400201
　　　財務行政","1,552","2,240",-688,"本年度預算數較上年度減列688千元，包括：
1.收據暨行政罰鍰管理系統維護費用336千元，較上年度增列112千元。
2.上年度辦理財政業務聯繫會報相關作業，預算業已編竣，所列800千元如數減列。
　"
,,03,,"　　34040400300
　　稅務金融管理",826,826,-,
,,,01,"　　　34040400301
　　　稅務金融管理",826,826,-,"本年度預算數826千元，係辦理基層金融機構及各項稅捐稽徵督導等經費，與上年度同。
　"
,,04,,"　　34040400400
　　菸酒管理","26,406","31,822","-5,416",
,,,01,"　　　34040400401
　　　菸酒管理","26,406","31,822","-5,416","本年度預算數較上年度減列5,416千元，包括：
1.售電回饋金支應水電費73千元，較上年度增列48千元。
2.私劣菸品查緝經費及加班費26,096千元，較上年度減列5,464千元。
　"
,,05,,"　　34040400500
　　公用財產管理","3,230","3,560",-330,
,,,01,"　　　34040400501
　　　公用財產管理","3,230","3,560",-330,"本年度預算數3,230千元，較上年度減列公有房舍管理經費330千元。
　"
,,06,,"　　34040400600
　　非公用財產管理","143,194","127,987","15,207",
,,,01,"　　　34040400601
　　　非公用財產管理","143,194","127,987","15,207","本年度預算數143,194千元，較上年度新增本市鳳山區鳳山段草店尾小段233-89地號市私共有地共有物分割地價補償費15,207千元。
　"
,,07,,"　　34040400700
　　非公用財產開發","12,787","8,592","4,195",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　34040400701
　　　非公用財產開發","12,787","8,592","4,195","本年度預算數較上年度增列4,195千元，包括：
1.新增龍華國小舊校地招標設定地上權應繳納地價稅9,406千元。
2.新增本市小港區二橋段1343地號一般公共設施維護費316千元。
3.新增本市前金區後金段859、860建號市有建物之大樓管理費128千元。
4.上年度辦理高雄捷運鳳山國中站周邊地區都市更新規劃委外作業及本市前鎮區瑞南段5地號市有土地，參與第75期市地重劃，重劃後應繳差額地價款，預算業已編竣，所列5,655千元如數減列。
　"
,,08,,"　　34040400800
　　集中支付及市庫現金管
　　理","19,899","20,099",-200,
,,,01,"　　　34040400801
　　　集中支付及市庫現金
　　　管理","19,899","20,099",-200,"本年度預算數19,899千元，較上年度減列通匯手續費、掛號郵資及入戶通知傳真費200千元。
　"
,,09,,"　　34040407900
　　第一預備金",233,233,-,
,,,01,"　　　34040407901
　　　第一預備金",233,233,-,"仍照上年度預算數編列。
　"
,,10,,"　　61040408100
　　非營業特種基金","3,951","123,907","-119,956",
,,,01,"　　　61040408101
　　　高雄市市有財產開發
　　　基金","3,951","123,907","-119,956","本年度預算數較上年度減列119,956千元，包括：
1.新增促參案件獎勵金補助高雄市市有財產開發基金3,951千元。
2.上年度辦理市有土地及建物作價投資高雄市市有財產開發基金，預算業已編竣，所列123,907千元如數減列。
　"
,,11,,"　　79040400200
　　債務付息","2,109,546","2,104,203","5,343",
,,,01,"　　　79040400202
　　　債務付息","2,109,546","2,104,203","5,343","本年度預算數2,109,546千元，較上年度增列債務付息5,343千元。
　"
,,12,,"　　80040400200
　　市債經理","7,225","12,568","-5,343",
,,,01,"　　　80040400201
　　　市債經理","7,225","12,568","-5,343","本年度預算數較上年度減列5,343千元，包括：
1.公債還本付息手續費7,225千元，較上年度增列1,657千元。
2.上年度公債發行手續費及登錄處理費，預算業已編竣，所列7,000千元如數減列。
　"
,002,,,"　00040410000
　高雄市稅捐稽徵處","712,107","753,454","-41,347",
,,01,,"　　34040410100
　　一般行政","598,516","613,329","-14,813",
,,,01,"　　　34040410101
　　　行政管理","598,516","613,329","-14,813","本年度預算數之內容與上年度之比較如下：
1.人員維持費554,915千元，較上年度核實減列人事費4,496千元。
2.基本行政工作維持費43,601千元，較上年度減列汰換空調主機及設立分處等經費10,317千元。
　"
,,02,,"　　34040410900
　　稅捐稽徵業務","69,963","96,020","-26,057",
,,,01,"　　　34040410901
　　　納稅服務","2,973","3,029",-56,"本年度預算數2,973千元，較上年度減列國內旅費56千元。
　"
,,,02,"　　　34040410902
　　　財產稅稽徵","46,729","48,370","-1,641","本年度預算數較上年度減列1,641千元，包括：
1.房屋稅稽徵25,120千元，較上年度增列委外開徵繳款書及催繳等經費33千元。
2.土地稅稽徵21,609千元，較上年度減列通訊費及臨時人員酬金等經費1,674千元。
　"
,,,03,"　　　34040410903
　　　消費稅稽徵","20,261","44,621","-24,360","本年度預算數較上年度減列24,360千元，包括：
1.新增委外人力辦理牌照稅相關業務5,110千元。
2.新增委託金融機構代收稅款手續費805千元。
3.委外開徵繳款書及催繳等經費8,496千元，較上年度增列582千元。
4.臨時人員酬金2,197千元，較上年度減列1,477千元。
5.使用牌照稅委託代徵手續費，預算業已編竣，所列29,380千元如數減列。
　"
,,03,,"　　34040411000
　　稅務管理","43,628","44,105",-477,
,,,01,"　　　34040411001
　　　稅務管理","22,129","22,690",-561,"本年度預算數22,129千元，較上年度減列臨時人員酬金、清理查欠及移送等經費561千元。
　"
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,02,"　　　34040411002
　　　電子作業","19,384","19,053",331,"本年度預算數較上年度增列331千元，包括：
1.資訊軟硬體設備購置經費3,000千元，較上年度增列465千元。
2.國內旅費300千元，較上年度減列134千元。
　"
,,,03,"　　　34040411003
　　　違章及行政救濟","2,115","2,362",-247,"本年度預算數2,115千元，較上年度減列舉發人財務罰鍰獎金、行政訴訟及律師費等經費247千元。
　"
05,,,,"00050000000
高雄市政府教育局主管","42,124,088","42,823,593","-699,505",
,001,,,"　00050500000
　高雄市政府教育局","41,574,407","42,191,239","-616,832",
,,01,,"　　51050508100
　　非營業特種基金","41,574,217","42,191,049","-616,832",
,,,01,"　　　51050508101
　　　教育發展基金","41,574,217","42,191,049","-616,832","本年度預算數較上年度減列616,832千元，包括：
1.新增以前年度(100年至104年)市府墊付款轉正170,047千元。
2.教學及行政業務、工程設備等經費3,060,559千元，較上年度減列259,845千元。
3.正式員額薪資、退休撫卹金及福利費、年終慰問金與各項補助等用人費用36,913,879千元，較上年度減列515,893千元。
4.公私立高中職(進修學校)、私立國中等學雜費330,256千元，較上年度減列11,141千元。
　"
,,02,,"　　53050507900
　　第一預備金",190,190,-,
,,,01,"　　　53050507901
　　　第一預備金",190,190,-,"仍照上年度預算數編列。
　"
,002,,,"　00050510000
　高雄市體育處","467,704","561,811","-94,107",
,,01,,"　　53050510100
　　一般行政","74,935","75,811",-876,
,,,01,"　　　53050510101
　　　行政管理","74,935","75,811",-876,"本年度預算數之內容與上年度之比較如下：
1.人員維持費74,211千元，較上年度核實減列人事費835千元。
2.基本行政工作維持費724千元，較上年度減列退休人員三節慰問金等經費41千元。
　"
,,02,,"　　53050510300
　　管理及設備","316,369","359,813","-43,444",
,,,01,"　　　53050510301
　　　管理與活動","316,369","359,813","-43,444","本年度預算數較上年度減列43,444千元，包括：
1.新增參加全國運動會及代表隊培訓12,000千元。
2.新增運動愛i台灣計畫16,274千元。
3.一般業務174,537千元，較上年度增列地價稅214千元。
4.體育活動68,927千元，較上年度增列國外旅費230千元。
5.世運主場館營運管理34,666千元，較上年度減列機電空調等維護費1,902千元。
6.上年度辦理104年度全國運動會、中央補助補辦預算及全民運動會等相關計畫預算業已編竣，所列70,260千元如數減列。
　"
,,03,,"　　53050510400
　　廳舍興建與充實設備","76,400","126,187","-49,787",
,,,01,"　　　53050510401
　　　廳舍修建","75,900","125,777","-49,877","本年度編列項目如下：
1.各場地整修計畫74,900千元。
2.各場地建築物公共安全及消防設備申報1,000千元。
　"
,,,02,"　　　53050510402
　　　充實設備",500,410,90,"本年度編列項目如下：
1.個人及筆記型電腦270千元。
2.低階工作站及機架式伺服器140千元。
3.網路設備(交換、路由器、防火牆等)90千元。
　"
,003,,,"　00050520000
　高雄市立社會教育館","50,558","48,784","1,774",
,,01,,"　　53050520100
　　一般行政","33,006","33,024",-18,
,,,01,"　　　53050520101
　　　行政管理","33,006","33,024",-18,"本年度預算數之內容與上年度之比較如下：
1.人員維持費31,461千元，與上年度同。
2.基本行政工作維持費1,545千元，較上年度減列退休員工三節慰問金18千元。
　"
,,02,,"　　53050520500
　　活動與管理","17,552","15,760","1,792",
,,,01,"　　　53050520501
　　　業務管理","13,215","11,015","2,200","本年度預算數13,215千元，較上年度增列演講廳及辦公室公共廁所整修工程等經費2,200千元。
　"
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,02,"　　　53050520502
　　　各項活動","4,337","4,745",-408,"本年度預算數較上年度減列408千元，包括：
1.教育推廣班3,263千元，較上年度增列擴班鐘點費及學員研習費減免補助等經費147千元。
2.一般業務654千元，較上年度減列講座鐘點費及補助社教站辦理藝文活動等經費145千元。
3.青少年文化體育活動中心業務420千元，較上年度減列補助民間團體辦理全國性大型青少年競賽活動等經費410千元。
　"
,004,,,"　00050530000
　高雄市政府教育局家庭教
　育中心","31,419","21,759","9,660",
,,01,,"　　53050530100
　　一般行政","8,464","8,610",-146,
,,,01,"　　　53050530101
　　　行政管理","8,464","8,610",-146,"本年度預算數之內容與上年度之比較如下:
1.人員維持費7,108千元與上年度同。
2.基本行政工作維持費1,356千元，較上年度減列水電等經費146千元。
　"
,,02,,"　　53050530500
　　活動與管理","22,955","13,149","9,806",
,,,01,"　　　53050530501
　　　業務管理",419,534,-115,"本年度預算數419千元，較上年度減列辦理家庭教育計畫經費115千元。
　"
,,,02,"　　　53050530502
　　　各項活動","22,536","12,615","9,921","本年度預算數22,536千元，較上年度增列教育部補助辦理推展家庭教育各項活動計畫經費9,921千元。
　"
06,,,,"00060000000
高雄市政府經濟發展局主管","726,409","897,903","-171,494",
,001,,,"　00060600000
　高雄市政府經濟發展局","726,409","897,903","-171,494",
,,01,,"　　59060600200
　　工業行政","19,387","35,279","-15,892",
,,,01,"　　　59060600201
　　　工業行政及管理","19,387","35,279","-15,892","本年度預算數較上年度減列15,892千元，包括:
1.一般業務13,387千元，較上年度減列辦理岡山本洲產業園區道路路面更新計畫等經費15,277千元。
2.未登記工廠稽查暨臨登工廠輔導計畫6,000千元，較上年度減列委外稽查等經費615千元。
　"
,,02,,"　　59060600300
　　公民營事業","112,413","183,551","-71,138",
　,　,　,　,　,　,　,　,　
,,,01,"　　　59060600301
　　　公民營事業管理","112,413","183,551","-71,138","本年度預算數較上年度減列71,138千元，包括:
1.一般業務105,684千元，較上年度減列智慧節電等計畫經費71,078千元。
2.土石採取(陸砂)管理業務1,621千元，較上年度減列機具託運費60千元。
　"
,,03,,"　　61060600100
　　一般行政","198,637","198,795",-158,
,,,01,"　　　61060600101
　　　行政管理","198,637","198,795",-158,"本年度預算數較上年度減列158千元，包括:
1.人員維持費193,600千元，較上年度增列約聘人員費用375千元。
2.基本行政工作維持費5,037千元，較上年度減列退休撫卹人員三節慰問金等經費533千元。
　"
,,04,,"　　61060600200
　　產業服務","2,162","63,374","-61,212",
,,,01,"　　　61060600201
　　　產業服務與經營輔導
　　　管理","2,162","63,374","-61,212","本年度預算數較上年度減列61,212千元，包括:
1.一般業務2,162千元較上年度減列本市重點產業知識庫建置及特色烘焙產業之競賽等經費6,212千元。
2.上年度辦理高雄市自造者空間計畫、數位文創產業加值計畫、提升產業競爭力輔導計畫及地方產業創新研發推動計畫等經費，預算業已編竣，所列55,000千元如數減列。
　"
,,05,,"　　61060600300
　　商業行政","11,894","78,856","-66,962",
,,,01,"　　　61060600301
　　　商業行政及管理","11,894","78,856","-66,962","本年度預算數較上年度減列66,962千元，包括:
1.國外旅費208千元，較上年度增列88千元。
2.人員維持費401千元，較上年度核實減列人事費550千元。
3.上年度辦理高雄市特色商店街區輔導再造及轉型計畫、爭取關鍵性會展活動在高雄及辦理三鳳中街環境改善規劃設計暨工程案等經費，預算業已編竣，所列66,500千元如數減列。
　"
,,06,,"　　61060600400
　　招商行政","251,449","177,442","74,007",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
